CATEGORY,ARTICLE,DESCRIPTION,MAE,RMSE
BUILDINGS,LUMBER,"LUMBER 2"" X 3"" X 12'/14' KD",38.03918946992934,40.66931007963673
BUILDINGS,LUMBER,"LUMBER 2"" X 4"" X 14' KD",38.03918946992934,40.66931007963673
BUILDINGS,PLYWOOD,"PLYWOOD 1/4""",69.74381122775505,74.93445889055216
BUILDINGS,PLYWOOD,"PLYWOOD 3/4""",11.929808226079617,14.403187251874892
BUILDINGS,SCREEN MATTING,SCREEN MATTING,0.5187654158086085,0.5338947208990817
CUSTODIAL,BROOM ,BROOM (WALIS TAMBO),1.1956384557663742,1.4892919267594487
CUSTODIAL,DISENFECTANT SPRAY,DISENFECTANT SPRAY Citrus Scent (340g),0.6501009264804204,0.9775092830305422
CUSTODIAL,DUTCH CLEANSER,DUTCH CLEANSER,0.670707564688431,0.7730068944110696
ELECTRICAL,CONVINIENCE OUTLET,2 GANG W/ GROUNDING PLATE PANASONIC DUPLEX,2.8208310271005588,3.068197421780376
ELECTRICAL,FLOURESCENT TUBE,FLOURESCENT TUBE 40W,8.392254282579705,9.569934754106525
ELECTRICAL,HIGH SODIUM LAMP,HIGH SODIUM LAMP  250W,0.1546603626313219,0.17231869191700025
ELECTRICAL,PVC PIPE ,"PVC PIPE 1""",5.942773566764704,6.3442877943487135
ELECTRICAL,TOX,PLASTIC TOX #8,37.6807578121684,52.69984112526193
GROUNDS,TRASH LINER,"TRASH LINER (GARBAGE BAG 2XL), premium grade, 10 pcs/pack, transparent",259.54793044126075,310.6430467805508
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 12""",0.268217275701576,0.30905329756703814
LANDSCAPING,CHAINSAW BLADE,"CHAINSAW BLADE 16""",0.28655946891614287,0.2899438606708547
LANDSCAPING,GUIDE BAR,"GUIDE BAR 36""",0.22397377797679377,0.3747721419225713
LANDSCAPING,ROUND FILE,"ROUND FILE 16""",0.8153841859505523,0.8339783217783685
LANDSCAPING,ROUND FILE,"ROUND FILE 24""",0.24718692956892033,0.2861853399768959
MOTORPOOL,AUTOMOTIVE BELT,AUTOMOTIVE BELT 3610 x 1525 A-60,11.679896549048193,19.61760021752872
MOTORPOOL,DIESEL ENGINE OIL,DIESEL ENGINE OIL  SAE 40,2.633060350888948,3.069082307752836
MOTORPOOL,GASOLINE ENGINE OIL,GASOLINE ENGINE OIL ,5.586297241776582,6.243823720485833
MOTORPOOL,OIL FILTER ,OIL FILTER (DAIWA) DC-518/526,7.66694056513271,12.847065512499844
MOTORPOOL,OIL FILTER ,OIL FILTER (SAKURA) C-1712,7.138774778559828,12.043256570939498
OFFICE,ALCOHOL,ALCOHOL ISOPROPYL 70% 500ml,6.46463659310631,6.487490428230795
OFFICE,BOND PAPER,A3  COPY PAPER,2.112206959037142,2.3111210092417362
OFFICE,BOND PAPER,A4  COPY PAPER,7.560643005567357,8.953905315812284
OFFICE,INK,INK EPSON T6641   BLACK,4.089758195952889,4.11413447072562
OFFICE,TISSUE,"TISSUE/TOILET PAPER, 3-ply, 600 sheets, 100% Virgin Pulp",13.546209308318131,15.54525790420935
PLUMBING,GATE VALVE,"GATE VALVE 1/2""",1.0152894856054795,1.2950938164771335
PLUMBING,GI PIPE,"GI PIPE 1 1/2"" X 20 40 SCH.",0.08228874791825941,0.08960181637765023
PLUMBING,GI PIPE,"GI PIPE 1"" X 20' SCH.40",0.9052769186717716,0.9937862680021196
PLUMBING,PVC PIPE,"PVC PIPE 1/2"" X 10' BLUE",2.5504845798759948,3.9953648014630976
PLUMBING,PVC PIPE,"PVC PIPE 3/4"" BLUE",4.376692010514539,5.028841315996188
REFRIGERATION,COPPER TUBE ,"COPPER TUBE  3/8""",108.30288069709461,123.32983879965703
REFRIGERATION,COPPER TUBE ,"COPPER TUBE 1/2""",12.66915682081635,15.640595860663202
REFRIGERATION,REFRIGERANT ,REFRIGERANT # R-410A,10.321094726433008,12.590841902192045
REFRIGERATION,REFRIGERANT ,REFRIGERANT #134-A,0.5720872276781331,0.5826868023394954
REFRIGERATION,REFRIGERANT ,REFRIGERANT #22,7.855126090597054,8.671787355471666
